frame_index,previous_frame_index,decoded_timestamp_seconds,changed_area_ratio,ssim,ecc_converged,ecc_score,ecc_dx,ecc_dy,ecc_error,laplacian_variance
0,,0.0,,,,,,,,3852.0042708333335
1,0,0.2,0.028880208333333334,0.9999602008932214,True,0.9999973811194315,0.00014586080214940012,-7.869919500080869e-05,,3865.3210416666666
2,1,0.4,0.005286458333333333,0.999998434819882,True,0.9999994184605654,0.00022334360983222723,-6.487557129730703e-06,,3865.534140625
3,2,0.6000000000000001,0.00029947916666666664,0.9999999307216174,True,0.9999997592441,1.0514894711377565e-05,-6.040455446054693e-06,,3865.7273697916667
4,3,0.8,0.0,1.0,True,0.9999997468788884,-7.993177284508935e-16,-1.3414260038857855e-14,,3865.7273697916667
5,4,1.0,0.0,1.0,True,0.9999997468788884,-7.993177284508935e-16,-1.3414260038857855e-14,,3865.7273697916667
6,5,1.2000000000000002,0.0,1.0,True,0.9999997468788884,-7.993177284508935e-16,-1.3414260038857855e-14,,3865.7273697916667
7,6,1.4000000000000001,0.0,1.0,True,0.9999997468788884,-7.993177284508935e-16,-1.3414260038857855e-14,,3865.7273697916667
8,7,1.6,0.10936197916666666,0.959123225863479,True,0.9809396113500061,0.019795246422290802,-0.004013230558484793,,2401.2866927083332
9,8,1.8,0.00265625,0.9999989901108186,True,1.00000051600716,-1.9670738765853457e-05,2.4619466785225086e-05,,2401.1253385416667
10,9,2.0,0.0,1.0,True,0.9999999015941091,-1.391846550631516e-15,-5.0335309820248326e-15,,2401.1253385416667
11,10,2.2,0.0,1.0,True,0.9999999015941091,-1.391846550631516e-15,-5.0335309820248326e-15,,2401.1253385416667
12,11,2.4000000000000004,0.13709635416666666,0.9998671882579868,True,0.9999670467626898,-0.005237770266830921,-0.007872582413256168,,2379.3303125
13,12,2.6,0.0,1.0,True,1.0000001170891955,-2.4080989989344517e-15,1.3312621617371276e-17,,2379.3303125
14,13,2.8000000000000003,0.0,1.0,True,1.0000001170891955,-2.4080989989344517e-15,1.3312621617371276e-17,,2379.3303125
15,14,3.0,0.0,1.0,True,1.0000001170891955,-2.4080989989344517e-15,1.3312621617371276e-17,,2379.3303125
16,15,3.2,0.13697916666666668,0.9262807761982942,True,0.9579129812191896,-0.014902275055646896,-0.023818686604499817,,1326.3374479166666
17,16,3.4000000000000004,0.0028125,0.9999985026260537,True,1.0000000431197467,5.877082367078401e-05,0.00012503819016274065,,1326.0322916666667
18,17,3.6,0.0004296875,0.9999996646105662,True,1.0000001941609749,1.2321808753767982e-05,-2.3452495952369645e-05,,1325.8095572916666
19,18,3.8000000000000003,0.0,1.0,True,1.0000002581781957,6.542169929434679e-15,-5.826422430323585e-15,,1325.8095572916666
20,19,4.0,0.0,1.0,True,1.0000002581781957,6.542169929434679e-15,-5.826422430323585e-15,,1325.8095572916666
21,20,4.2,0.0,1.0,True,1.0000002581781957,6.542169929434679e-15,-5.826422430323585e-15,,1325.8095572916666
22,21,4.4,0.0,1.0,True,1.0000002581781957,6.542169929434679e-15,-5.826422430323585e-15,,1325.8095572916666
23,22,4.6000000000000005,0.0,1.0,True,1.0000002581781957,6.542169929434679e-15,-5.826422430323585e-15,,1325.8095572916666
